,airline_sentiment,text
0,1, plus you've added commercials to the experience... tacky.
1,0, it's really aggressive to blast obnoxious  entertainment  in your guests' faces  amp  they have little recourse
2,0, and it's a really big bad thing about it
3,0, seriously would pay     a flight for seats that didn't have this playing. it's really the only bad thing about flying VA
4,1, yes  nearly every time I fly VX this  ear worm  won t go away  
5,1, Well  I didn't but NOW I DO!  D
6,1, it was amazing  and arrived an hour early. You're too good to me.
7,1, I  lt   pretty graphics. so much better than minimal iconography. D
8,1, This is such a great deal! Already thinking about my  nd trip to   amp  I haven't even gone on my  st trip yet!  p
9,1,  I'm flying your fabulous Seductive skies again! U take all the stress away from travel http   t.co ahlXHhKiyn
10,1, Thanks!
11,0, SFO PDX schedule is still MIA.
12,1, So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America.   DaysToGo
13,0, I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!
14,1,I red heart flying . smiling face thumbs up
15,1, you know what would be amazingly awesome? BOS FLL PLEASE!!!!!!! I want to fly with only you.
16,0, why are your first fares in May over three times more than other carriers when all seats are available to select???
17,1, I love this graphic. http   t.co UT GrRwAaA
18,1, I love the hipster innovation. You are a feel good brand.
19,0, you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... enraged face I want free internet
20,0, status match program. I applied and it's been three weeks. Called and emailed with no response.
21,0, What happened   ur vegan food options?! At least say on ur site so i know I won't be able   eat anything for next   hrs fail
22,0, amazing to me that we can't get any cold air from the vents. VX    noair worstflightever roasted SFOtoBOS
23,0, hi! I just bked a cool birthday trip with you  but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems crying face
24,0, help  left expensive headphones on flight    IAD to LAX today. Seat  A. No one answering L amp F number at LAX!
25,0, awaiting my return phone call  just would prefer to use your online self service option  
26,1, this is great news! America could start flights to Hawaii by end of year http   t.co r p Zy fe  via 
27,1, Moodlighting is the only way to fly! Best experience EVER! Cool and calming. purple heart airplane MoodlitMonday
28,1,  Done and done! Best airline around  hands down!
29,0, Your chat support is not working on your site http   t.co vhp GtDWPk
30,1, View of downtown Los Angeles  the Hollywood Sign  and beyond that rain in the mountains! http   t.co Dw nf ibtr
31,0, Hey  first time flyer next week   excited! But I'm having a hard time getting my flights added to my Elevate account. Help?
32,1, I'm elevategold for a good reason you rock!!
33,1, wow this just blew my mind
34,1,   Julie Andrews all the way though  was very impressive! NO to 
35,0, hi! i'm so excited about your     LGA  gt DAL deal  but i've been trying   book since last week  amp  the page never loads. thx!
36,1, you know it. Need it on my spotify stat guiltypleasures
37,1,   I'm Lady Gaga!!! She is amazing! smiling face with smiling eyes
38,0, I called a     weeks ago about adding   flights from      to my Elevate...they still haven't shown up...help!
39,1,   love all three but you really can't beat the classics!
40,0, heyyyy guyyyys.. been trying to get through for an hour. can someone call me please?  
41,0, Hi  Virgin! I'm on hold for       minutes    are there any earlier flights from LA to NYC tonight  earlier than      pm?
42,1, Congrats on winning the  award for Best Deals from an Airline  US  http   t.co kj iljaebV
43,0, everything was fine until you lost my bag
44,0, your airline is awesome but your lax loft needs to step up its game.     for dirty tables and floors? http   t.co hy VrfhjHt
45,1, not worried  it's been a great ride in a new plane with great crew. All airlines should be like this.
46,1, awesome. I flew yall Sat morning. Any way we can correct my bill ?
47,0, what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
48,0, why can't you supp the biz traveler like  and have customer service like  neverflyvirginforbusiness
49,1, I've applied more then once to be a member of the inflight crew team...Im      interested. flightattendant dreampath  G
50,0, you're the best!! Whenever I  begrudgingly  use any other airline I'm delayed and Late Flight  
51,0, I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.neverflyvirginforbusiness
52,0, it was a disappointing experience which will be shared with every business traveler I meet. neverflyvirgin
53,0, I m having trouble adding this flight my wife booked to my Elevate account. Help? http   t.co pX hQOKS R
54,0, Why is the site down? When will it be back up?
55,0, I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
56,0, just landed in LAX  an hour after I should of been here. Your no Late Flight bag check is not business travel friendly nomorevirgin
57,0, Is it me  or is your website down? BTW  your new website isn't a great user experience. Time for another redesign.
58,0, I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http   t.co AvyqdMpi Y
59,0,   Let   scanned in passengers leave the plane than told someone to remove their bag from  st class bin? uncomfortable
60,0, What is your phone number. I can't find who to call about a flight reservation.
61,0, is anyone doing anything there today? Website is useless and no one is answering the phone.
62,0, why must a traveler miss a flight to Late Flight check a bag? I missed my morning appointments and you lost my business. sfo lax
63,0, how's a direct flight FLL  gt SFO have unexpected layover in Vegas   fuel yet peeps next to me bought for Vegas flight. sneaky
64,0, your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
65,1,   amazing customer service  again! two hearts two hearts RaeAnn in SF   she's the best! customerservice virginamerica flying
66,0, called your service line and was hung up on. This is awesome. sarcasm
